stock_id,date,recommendation,final_score,pv_score,mt_score,dd_score,current_price,suggested_entry,reasons,return_5d,return_10d,return_20d,return_60d,return_120d,max_drawdown_20d
2882,2023-07-17,WATCH,0.36,0.4,1.0,0.0,45.0,45.0,breakout without volume confirmation; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),-1.7778,1.6667,0.8889,0.6667,0.2222,-1.7778
2317,2023-07-18,AVOID,-0.14,0.0,-0.7,0.0,112.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),0.0,-1.3393,-5.8036,-4.4643,-9.8214,-5.8036
2330,2023-07-18,WAIT,0.2,0.0,1.0,0.0,581.0,578.0,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-2.0654,-2.4096,-6.7126,-6.1962,0.8606,-6.8847
2412,2023-07-18,AVOID,-0.1,0.0,-0.5,0.0,115.0,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),1.3043,1.3043,2.6087,1.3043,4.3478,0.0
2454,2023-07-18,AVOID,-0.1,0.0,-0.5,0.0,683.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),-2.6354,4.3924,0.8785,22.9868,35.8712,-4.0996
2882,2023-07-18,WATCH,0.36,0.4,1.0,0.0,45.05,45.05,breakout without volume confirmation; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),-1.1099,4.8835,0.111,0.9989,-0.6659,-1.8868
2317,2023-07-19,AVOID,-0.14,0.0,-0.7,0.0,108.5,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),2.765,-0.4608,-1.8433,-1.8433,-7.8341,-2.765
2330,2023-07-19,WAIT,0.2,0.0,1.0,0.0,581.0,577.9,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-2.5818,-3.4423,-6.3683,-5.1635,0.5164,-6.8847
2412,2023-07-19,AVOID,-0.1,0.0,-0.5,0.0,115.0,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),1.7391,0.8696,1.3043,1.3043,4.3478,0.0
2454,2023-07-19,WAIT,0.1,0.0,0.5,0.0,696.0,688.35,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-5.8908,1.8678,-3.1609,18.5345,32.7586,-5.8908
